amount,account_age,transaction_count,fraud
3751.6557872851513,51,31,0
9507.635921035062,71,55,1
7322.619478695937,480,12,0
5990.598257128396,560,11,0
1568.6262180199408,19,88,0
1568.3852581586643,774,72,0
590.2552855603126,84,32,0
8663.099696291603,155,57,0
6015.138967314656,565,38,0
7083.6450521824945,619,60,0
215.63909801506645,357,86,0
9699.399423098323,816,98,0
8326.101981596214,647,19,0
2131.2677156759787,443,84,0
1826.4314223989352,69,56,0
1842.211053435804,523,14,0
3049.380007165782,143,33,0
5252.316752006056,192,10,0
4325.130736234736,387,80,0
2919.379110578439,378,64,0
6122.41041827657,581,64,0
1403.543667913898,535,62,0
2928.525038866829,693,68,0
3669.9548145039803,293,91,0
4566.139142328189,9,92,0
7853.907854316206,271,43,0
2004.7410837620137,387,80,0
5147.20203975198,93,59,0
5928.221542931804,966,52,0
474.03962307277726,529,97,0
6079.37307049537,154,19,0
1713.5359956360423,405,21,0
659.8654139229424,840,22,0
9489.366517160799,149,9,0
9656.664010414848,889,9,0
8085.889507683447,267,73,0
3053.0915540419733,422,27,0
985.7444189237749,840,17,0
6845.487934856447,618,44,0
4407.123412458617,472,45,0
1229.1619660993404,893,8,0
4956.817332011589,547,80,0
353.5413259410318,631,18,0
9094.110816767034,526,33,0
2595.212016184169,503,1,0
6628.59762069628,14,76,0
3123.9936501332154,778,6,0
5205.47953156633,652,41,0
5471.635690639364,806,55,0
1856.6960107000152,364,5,0
9696.15043136794,119,59,0
7753.576905377535,238,80,0
9395.59442622625,546,18,0
8949.325230772212,169,49,0
5983.02078832274,522,82,0
9219.523607880938,634,65,0
894.0400954986758,913,83,0
1967.8687955672606,657,54,0
461.82061621627525,963,61,0
3260.050004325011,958,8,0
3892.886123997925,735,3,0
2720.7768274212203,883,25,0
8289.087716427774,769,69,0
3573.965733668957,780,55,0
2816.535751776934,871,40,0
5431.533870750902,516,83,0
1417.8330074978787,938,82,0
8023.947837732856,397,50,0
754.7609303609105,866,95,0
9869.000496639168,106,33,0
7724.7252452736075,85,18,1
1995.1696585263824,214,57,0
65.16595006478796,121,16,0
8156.459670263794,132,80,0
7071.504865037695,850,38,0
7292.781608729463,197,41,0
7714.990763392598,19,7,1
749.7060708235628,642,78,0
3591.0726281572834,12,53,0
1167.5319046560458,81,63,0
8632.403224497179,330,89,0
6236.748287007304,866,32,0
3315.6712682779653,774,38,0
644.9479193573761,392,22,0
3116.7133939394653,637,16,0
3258.581387047203,307,52,0
7298.76572159726,267,29,0
6379.1991388385795,447,16,0
8873.255298337503,441,76,0
4727.427102367874,895,17,0
1204.746516923634,652,64,0
7135.31542435772,841,91,0
7610.2426356828055,2,89,1
5617.159203719268,520,13,0
7711.962127746065,762,72,0
4943.0180076802635,651,56,0
